schema_version,configuration,metric,n,mean,median,std,min,max,ci95_low,ci95_high
2.0,multi_expert_router_only,planning_latency_seconds,100,0.029650362031534313,0.029001400340348482,0.0054198760294598,0.015867100097239017,0.05136619973927736,0.028588066329760194,0.030712657733308432
2.0,multi_expert_router_only,execution_latency_seconds,100,0.012727032015100122,0.01215364970266819,0.0032594869107138284,0.006348500028252602,0.022465399466454983,0.012088172580600211,0.013365891449600032
2.0,multi_expert_router_only,total_latency_seconds,100,0.04346367598511278,0.04256789991632104,0.006581645959050935,0.03081599995493889,0.0685778995975852,0.0421736733771388,0.044753678593086765
2.0,multi_expert_router_only,proposal_count,100,1.68,1.0,1.24,0.0,6.0,1.43696,1.9230399999999999
2.0,multi_expert_router_only,final_plan_steps,100,1.68,1.0,1.24,0.0,6.0,1.43696,1.9230399999999999
2.0,multi_expert_router_only,specialist_attribution_rate,100,0.92,1.0,0.2712931993250107,0.0,1.0,0.8668265329322979,0.9731734670677021
2.0,multi_expert_router_only,critic_decision_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,deterministic_ordering_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_router_only,trace_completeness_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,problem_detection_f1,100,0.9786666666666667,1.0,0.07476184410067299,0.6666666666666666,1.0,0.9640133452229348,0.9933199881103986
2.0,multi_expert_oracle_router,route_f1,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_oracle_router,appropriate_operation_precision,100,0.9666666666666667,1.0,0.11547005383792516,0.5,1.0,0.9440345361144333,0.9892987972189
2.0,multi_expert_oracle_router,unsafe_operation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,protected_column_mutation_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,unknown_column_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,redundant_step_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,conflict_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,final_plan_valid,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_oracle_router,expected_operation_coverage,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_oracle_router,remaining_expected_operation_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,clean_data_preservation,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_oracle_router,validation_pass,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_oracle_router,rollback,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,contract_violation,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,catastrophic_failure,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_oracle_router,planning_latency_seconds,100,0.016644858978688715,0.01470499997958541,0.005389766716695398,0.010824699886143208,0.0448677996173501,0.015588464702216417,0.017701253255161014
2.0,multi_expert_oracle_router,execution_latency_seconds,100,0.010347831984981895,0.009571250062435865,0.003562196108011428,0.006172499619424343,0.024475100450217724,0.009649641547811654,0.011046022422152135
2.0,multi_expert_oracle_router,total_latency_seconds,100,0.028051282977685332,0.026029800064861774,0.00798237274110418,0.01847130060195923,0.06085669994354248,0.026486737920428913,0.02961582803494175
2.0,multi_expert_oracle_router,proposal_count,100,1.08,1.0,1.397712416772492,0.0,6.0,0.8060483663125917,1.3539516336874085
2.0,multi_expert_oracle_router,final_plan_steps,100,1.08,1.0,1.397712416772492,0.0,6.0,0.8060483663125917,1.3539516336874085
2.0,multi_expert_oracle_router,specialist_attribution_rate,100,0.6,1.0,0.4898979485566356,0.0,1.0,0.5039800020828994,0.6960199979171006
2.0,multi_expert_oracle_router,critic_decision_rate,100,0.6,1.0,0.4898979485566356,0.0,1.0,0.5039800020828994,0.6960199979171006
2.0,multi_expert_oracle_router,deterministic_ordering_rate,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_oracle_router,trace_completeness_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,problem_detection_f1,100,0.5016969696969696,0.6666666666666666,0.42395256764681244,0.0,1.0,0.4186022664381944,0.5847916729557449
2.0,multi_expert_faulty_router,route_f1,100,0.2437948717948718,0.16666666666666666,0.2625830522008038,0.0,0.7692307692307692,0.19232859356351426,0.2952611500262293
2.0,multi_expert_faulty_router,appropriate_operation_precision,100,0.48,0.5,0.42640617047859686,0.0,1.0,0.396424390586195,0.5635756094138049
2.0,multi_expert_faulty_router,unsafe_operation_proposal_rate,100,0.01,0.0,0.099498743710662,0.0,1.0,-0.009501753767289753,0.02950175376728975
2.0,multi_expert_faulty_router,protected_column_mutation_proposal_rate,100,0.01,0.0,0.099498743710662,0.0,1.0,-0.009501753767289753,0.02950175376728975
2.0,multi_expert_faulty_router,unknown_column_proposal_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,redundant_step_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,conflict_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,final_plan_valid,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_faulty_router,expected_operation_coverage,100,0.74,1.0,0.4386342439892262,0.0,1.0,0.6540276881781116,0.8259723118218883
2.0,multi_expert_faulty_router,remaining_expected_operation_rate,100,0.26,0.0,0.4386342439892262,0.0,1.0,0.17402768817811168,0.34597231182188837
2.0,multi_expert_faulty_router,unintended_change_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,clean_data_preservation,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_faulty_router,validation_pass,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_faulty_router,rollback,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,contract_violation,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,catastrophic_failure,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,multi_expert_faulty_router,planning_latency_seconds,100,0.034259001053869725,0.03403160022571683,0.006534679039320948,0.01914370059967041,0.051232099533081055,0.03297820396216282,0.03553979814557663
2.0,multi_expert_faulty_router,execution_latency_seconds,100,0.01182716190814972,0.011160799767822027,0.003684971511215538,0.0062550995498895645,0.027054499834775925,0.011104907491951473,0.012549416324347966
2.0,multi_expert_faulty_router,total_latency_seconds,100,0.04720431702211499,0.04599680006504059,0.007462521688963944,0.03301279991865158,0.06748699955642223,0.04574166277107806,0.04866697127315193
2.0,multi_expert_faulty_router,proposal_count,100,1.38,1.0,1.1556816170554933,0.0,6.0,1.1534864030571232,1.6065135969428765
2.0,multi_expert_faulty_router,final_plan_steps,100,1.37,1.0,1.1632282665066216,0.0,6.0,1.1420072597647022,1.597992740235298
2.0,multi_expert_faulty_router,specialist_attribution_rate,100,0.82,1.0,0.3841874542459709,0.0,1.0,0.7446992589677897,0.8953007410322102
2.0,multi_expert_faulty_router,critic_decision_rate,100,0.82,1.0,0.3841874542459709,0.0,1.0,0.7446992589677897,0.8953007410322102
2.0,multi_expert_faulty_router,deterministic_ordering_rate,100,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2.0,multi_expert_faulty_router,trace_completeness_rate,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
